,Suggested Short Name,High Time Step 1 (431) Rules,Time Step 2 (432) Rules,Time Step 3 (433) Rules,FB_0029_FCCS,FB_0029_FCCS_431,FB_0029_FCCS_432,FB_0029_FCCS_433,FB_0046_FCCS,FB_0046_FCCS_431,FB_0046_FCCS_432,FB_0046_FCCS_433,FB_0066_FCCS,FB_0066_FCCS_431,FB_0066_FCCS_432,FB_0066_FCCS_433,FB_0087_FCCS,FB_0087_FCCS_431,FB_0087_FCCS_432,FB_0087_FCCS_433,FB_0109_FCCS,FB_0109_FCCS_431,FB_0109_FCCS_432,FB_0109_FCCS_433,FB_0291_FCCS,FB_0291_FCCS_431,FB_0291_FCCS_432,FB_0291_FCCS_433
eCANOPY_SNAGS_CLASS_2_DIAMETER,C2Snag_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,3.5,3.5,3.5,3.5,11,11,11,11,12,12,12,12
eCANOPY_SNAGS_CLASS_2_HEIGHT,C2Snag_Height,,,,,0,0,0,,0,0,0,,0,0,0,20,20,20,20,50,50,50,50,70,70,70,70
eCANOPY_SNAGS_CLASS_2_STEM_DENSITY,C2Snag_Density,0.25,,,,0,0,0,,0,0,0,,0,0,0,150,37.5,37.5,37.5,10,2.5,2.5,2.5,3,0.75,0.75,0.75
eCANOPY_SNAGS_CLASS_3_DIAMETER,C3Snag_Diameter,,,,9,9,9,9,,0,0,0,,0,0,0,3.5,3.5,3.5,3.5,11,11,11,11,10,10,10,10
eCANOPY_SNAGS_CLASS_3_HEIGHT,C3Snag_Height,,,,60,60,60,60,,0,0,0,,0,0,0,15,15,15,15,40,40,40,40,60,60,60,60
eCANOPY_SNAGS_CLASS_3_STEM_DENSITY,C3Snag_Density,0.25,,,3,0.75,0.75,0.75,,0,0,0,,0,0,0,150,37.5,37.5,37.5,5,1.25,1.25,1.25,3,0.75,0.75,0.75
eCANOPY_LADDER_FUELS_MAXIMUM_HEIGHT,Ladder_MaxHeight,,,,,0,0,0,,0,0,0,,0,0,0,4,4,4,4,15,15,15,15,,0,0,0
eCANOPY_LADDER_FUELS_MINIMUM_HEIGHT,Ladder_MinHeight,,,,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,5,5,5,5,,0,0,0
eSHRUBS_PRIMARY_LAYER_HEIGHT,1Shrub_Height,,,,2.2,2.2,2.2,2.2,5,5,5,5,3,3,3,3,5,5,5,5,6,6,6,6,5,5,5,5
eSHRUBS_PRIMARY_LAYER_PERCENT_COVER,1Shrub_Cover,0.5,1.5,1.5,21.6,10.8,16.2,24.3,70,35,52.5,78.75,2,1,1.5,2.25,10,5,7.5,11.25,30,15,22.5,33.75,80,40,60,90
eSHRUBS_PRIMARY_LAYER_PERCENT_LIVE,1Shrub_Live,0.5,1.5,,85,42.5,63.75,63.75,85,42.5,63.75,63.75,100,50,75,75,90,45,67.5,67.5,85,42.5,63.75,63.75,90,45,67.5,67.5
eSHRUBS_SECONDARY_LAYER_HEIGHT,2Shrub_Height,,,,0.3,0.3,0.3,0.3,2,2,2,2,,0,0,0,1,1,1,1,,0,0,0,,0,0,0
eSHRUBS_SECONDARY_LAYER_PERCENT_COVER,2Shrub_Cover,0.5,1.5,,1.2,0.6,0.9,0.9,5,2.5,3.75,3.75,,0,0,0,20,10,15,15,,0,0,0,,0,0,0
eSHRUBS_SECONDARY_LAYER_PERCENT_LIVE,2Shrub_Live,0.5,1.5,,95,47.5,71.25,71.25,85,42.5,63.75,63.75,,0,0,0,90,45,67.5,67.5,,0,0,0,,0,0,0
eHERBACEOUS_PRIMARY_LAYER_HEIGHT,1Herb_Height,,,,0.9,0.9,0.9,0.9,,0,0,0,2,2,2,2,1,1,1,1,2.5,2.5,2.5,2.5,2,2,2,2
